Id,Allapot,Visszalepes,Olvas,Szokoz,$,Egyeb,{,},(,*,),:,=,<,>,Betu,Szamjegy
1,Kezdőállapot,nem,igen,22,21,19,6,19,8,26,19,12,19,14,17,2,4
2,Azonosítóban,-,igen,3,3,3,3,3,3,3,3,3,3,3,3,2,2
3,Azonosító vége,igen,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Számban,-,igen,5,5,5,5,5,5,5,5,5,5,5,5,5,4
5,Szám vége,igen,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,{} komm.-ban,-,igen,6,19,6,6,7,6,6,6,6,6,6,6,6,6
7,{} komm. vég ,nem,nem,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,(-t talált,-,igen,20,19,20,20,20,20,9,20,20,20,20,20,20,20
9,(**) komm.ban,-,igen,9,19,9,9,9,9,10,9,9,9,9,9,9,9
10,*  (**)-ban,-,igen,9,19,9,9,9,9,10,11,9,9,9,9,9,9
11,(**)komm.vég,nem,nem,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,: -t talált,-,igen,20,19,20,20,20,20,20,20,20,13,20,20,20,20
13,:= token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,< -t talált,-,igen,20,19,20,20,20,20,24,20,20,15,20,16,20,20
15,<= token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,<> token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,>-t talált,-,igen,20,19,20,20,20,20,20,20,20,18,20,20,20,20
18,>= token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,Hibakezelő,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,Továbbfejlesztés,igen,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,Stop,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,Szokozok,nem,igen,22,23,23,23,23,23,23,23,23,23,23,23,23,23
23,Szokozok vege,igen,nem,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,<*-t talalt,-,igen,20,19,20,20,20,20,20,20,20,20,20,25,20,20
25,<*> token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,* token,nem,nem,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,Skip,nem,nem,22,21,19,6,19,8,26,19,12,19,14,17,2,4
